Image,L,A,B
patch_01.png,86.26265609240089,-21.483152367470314,-4.735752189122114
patch_02.png,71.4020708381708,16.00653489303806,-35.155111921088874
patch_03.png,52.61318585740357,-19.569605494171288,20.24650054510832
patch_04.png,66.28760643815251,5.170959975900106,-33.22915646992866
patch_05.png,77.50364221208216,10.778159020516574,9.11155887886914
patch_06.png,43.643460004505016,12.433929386551519,8.536562674811357
patch_07.png,70.23601869957284,26.05495019754254,58.53383842912027
patch_08.png,55.62088958028821,27.101712060087372,-57.35428267216059
patch_09.png,60.09475830938917,46.11966109161288,4.071371103329334
patch_10.png,40.5806777104601,30.361660309639525,-40.78930402852524
patch_11.png,86.23595322004554,-28.599624273330274,56.553877389277346
patch_12.png,81.45599806144898,6.5662844202943695,65.71651671294326
patch_13.png,70.58122552853897,-13.934142142913846,-32.3769110517564
patch_14.png,62.2762949552756,50.25952254873453,-32.89785037994631
patch_15.png,91.33067716694215,-11.328849267156748,78.83599093934801
patch_16.png,47.62192267023251,54.50328060646971,22.516619036988473
patch_17.png,71.8402241026958,-43.089008184573586,32.58003666176467
patch_18.png,41.3543594141159,40.463757364375596,-68.4808924146865
patch_19.png,95.98881176854738,2.994125081806435,-5.978179266432492
patch_20.png,89.21681714208601,3.3301588578770387,-7.79893322081924
patch_21.png,79.52766405205404,3.224103871669882,-7.79703351475885
patch_22.png,62.848400151817955,2.9935106608553776,-8.006995274708025
patch_23.png,42.4514013956077,2.5052247058731663,-6.931261088309363
patch_24.png,28.46855384767793,1.8863452094085107,-6.963108922584514
